鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
屏東巿,房地(土地+建物),屏東縣屏東巿公裕街353巷31~60號,5.57,住,,,10304,土地1建物1車位0,二層,004,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0970305,13.73,0,0,1,無,有,800000,58267,,0.0,0
屏東巿,房地(土地+建物),屏東縣屏東巿公裕街353巷31~60號,5.92,住,,,10304,土地1建物1車位0,四層,004,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0970305,14.61,0,0,0,無,有,750000,51335,,0.0,0
屏東巿,房地(土地+建物),屏東縣屏東巿公裕街353巷31~60號,5.57,住,,,10304,土地1建物1車位0,二層,004,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0970305,13.73,0,0,0,無,有,760000,55353,,0.0,0
屏東巿,房地(土地+建物),屏東縣屏東巿公裕街353巷31~60號,5.57,住,,,10304,土地1建物1車位0,二層,004,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0970305,13.73,0,0,0,無,有,760000,55353,,0.0,0
屏東巿,房地(土地+建物),屏東縣屏東巿崇德一路129巷1~30號,75.88,住,,,10304,土地3建物1車位0,全,004,透天厝,見其他登記事項,鋼筋混凝土造,0900406,185.25,4,2,4,有,無,5200000,28070,,0.0,0
九如鄉,土地,九和段511~540地號,72.72,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450864,6200,,0.0,0
屏東巿,房地(土地+建物),屏東縣屏東巿興豐路130巷1~30號,99.0,住,,,10304,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土造,0750830,115.88,3,2,2,有,無,4300000,37107,,0.0,0
屏東巿,房地(土地+建物),屏東縣屏東巿廣東路1284巷61~90號,31.44,住,,,10304,土地1建物1車位0,四層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830629,124.50999999999999,4,2,2,有,有,2630000,21123,,0.0,0
九如鄉,房地(土地+建物),屏東縣九如鄉後庄村後庄路301~330號,72.38,,鄉村區,乙種建築用地,10304,土地2建物1車位0,全,003,透天厝,住商用,鋼筋混凝土造,0690930,116.15,3,2,2,有,無,479463,4128,,0.0,0
屏東巿,房地(土地+建物),屏東縣屏東巿林森路1~30號,74.5,住,,,10304,土地2建物1車位0,全,001,透天厝,住家用,磚造,,49.68,2,1,1,有,無,1500000,30193,,0.0,0
九如鄉,土地,耆老段271~300地號,840.77,,特定農業區,農牧用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,3568,,0.0,0
長治鄉,土地,長豐段31~60地號,59.88,,一般農業區,特定目的事業用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,197604,3300,,0.0,0
屏東巿,房地(土地+建物)+車位,屏東縣屏東巿崇蘭91~120號,29.92,住,,,10304,土地1建物1車位1,五層,006,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0880514,120.88999999999999,3,2,2,有,有,3200000,26470,一樓平面,0.0,0
屏東巿,房地(土地+建物),屏東縣屏東巿莊敬街二段113巷1~30號,18.39,住,,,10304,土地1建物1車位0,六層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860113,115.64,3,2,2,有,有,2620000,22657,,0.0,0
屏東巿,房地(土地+建物),屏東縣屏東巿莊敬街二段1~30號,21.41,住,,,10304,土地1建物1車位0,四層,007,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0810213,89.47,3,2,2,有,有,2250000,25148,,0.0,0
里港鄉,房地(土地+建物),屏東縣里港鄉鐵店路61~90號,109.0,住,,,10304,土地2建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0840504,214.27,6,2,3,有,無,3138000,14645,,0.0,0
潮州鎮,土地,蓬萊段631~660地號,2522.0,,一般農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5780000,2292,,0.0,0
內埔鄉,土地,早角段601~630地號,2500.0,,一般農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,880,,0.0,0
內埔鄉,房地(土地+建物),屏東縣潮州鎮勝利路391~420號,81.47,住,,,10304,土地1建物1車位0,全,002,透天厝,住商用,鋼筋混凝土造,0741109,105.3,2,2,2,有,無,2370000,22507,,0.0,0
內埔鄉,土地,新埔段1561~1590地號,2460.0,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,2439,,0.0,0
內埔鄉,土地,隘寮段211~240地號,199.0,,一般農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,270000,1357,,0.0,0
潮州鎮,房地(土地+建物),屏東縣潮州鎮田新路91~120號,70.8,,鄉村區,乙種建築用地,10304,土地1建物1車位0,全,002,透天厝,住商用,加強磚造,0670220,93.22,2,2,2,有,無,2000000,21455,,0.0,0
內埔鄉,土地,新埔段691~720地號,2379.0,,特定農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5362000,2254,,0.0,0
潮州鎮,房地(土地+建物),屏東縣潮州鎮四維路151~180號,78.66,住,,,10304,土地1建物1車位0,一層，二層，三層，四層，騎樓,004,店面(店鋪),住家用,鋼筋混凝土造,0750725,183.97,4,1,3,有,無,5600000,30440,,0.0,0
萬巒鄉,土地,赤山段571~600地號,484.95,,一般農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,330000,680,,0.0,0
崁頂鄉,土地,頂安段571~600地號,610.09,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5905600,9680,,0.0,0
新園鄉,房地(土地+建物),屏東縣新園鄉媽祖路31~60號,174.1,,鄉村區,乙種建築用地,10304,土地1建物1車位0,全,003,透天厝,住宅,鋼筋混凝土構造,1000720,273.1,5,2,4,有,無,6800000,24899,,0.0,0
新園鄉,土地,五龍段151~180地號,39.54,,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60000,1517,,0.0,0
東港鎮,土地,東新段181~210地號,62.54,工,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,378000,6044,,0.0,0
東港鎮,土地,新愛段721~750地號,184.44,住,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6025000,32666,,0.0,0
東港鎮,土地,新愛段721~750地號,184.43,住,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6025000,32668,,0.0,0
車城鄉,土地,射寮段421~450地號,14.0,,國家公園區,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,98,7,,0.0,0
滿州鄉,土地,�b�穨繻q121~150地號,283.0,,國家公園區,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,82919,293,,0.0,0
滿州鄉,土地,�b�穨繻q121~150地號,150.5,,國家公園區,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,92769,616,,0.0,0
恆春鎮,土地,恆東段61~90地號,80.41,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1660000,20644,,0.0,0
恆春鎮,房地(土地+建物),屏東縣恆春鎮?公路1~30號,7.57,住,,,10303,土地1建物1車位0,五層,007,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830602,26.77,1,1,1,有,無,750000,28016,,0.0,0
恆春鎮,房地(土地+建物),屏東縣恆春鎮中正路232巷181~210號,72.41,住,,,10304,土地1建物1車位0,全,004,透天厝,住商用,鋼筋混凝土造,0830531,177.99,7,2,5,有,無,8300000,46632,,0.0,0
滿州鄉,土地,�慦L段331~360地號,3118.0,,國家公園區,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,385,,0.0,0
恆春鎮,土地,機場段181~210地號,142.78,,一般農業區,水利用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,456896,3200,,0.0,0
屏東巿,房地(土地+建物),屏東縣屏東巿公民街1~30號,19.2,住,,,10304,土地1建物1車位0,七層,010,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830126,117.55,3,2,2,有,無,3200000,27222,,0.0,0
麟洛鄉,房地(土地+建物),屏東縣麟洛鄉中山路361~390號,520.15,其他,,,10304,土地5建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1001111,237.27,5,2,4,有,有,17500000,73756,,0.0,0
長治鄉,土地,興華段841~870地號,5241.71,,一般農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9720000,1854,,0.0,0
新埤鄉,土地,新力段541~570地號,3026.17,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2184000,722,,0.0,0
內埔鄉,土地,早角段511~540地號,1333.03,,一般農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,825,,0.0,0
東港鎮,房地(土地+建物),屏東縣東港鎮新興一街61~90號,71.6,住,,,10304,土地1建物1車位0,全,003,透天厝,店舖、住宅,鋼筋混凝土造,0780728,154.18,4,2,3,有,無,4000000,25944,,0.0,0
內埔鄉,土地,新東勢段31~60地號,304.0,,一般農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,660000,2171,,0.0,0
屏東巿,土地,頂柳段181~210地號,2930.19,,一般農業區,農牧用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3564667,1217,,0.0,0
屏東巿,土地,頂柳段181~210地號,1465.09,,一般農業區,農牧用地,10212,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1782333,1217,,0.0,0
高樹鄉,土地,埔�楛[段1411~1440地號,3706.0,,一般農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1520000,410,,0.0,0
枋寮鄉,土地,東海段361~390地號,260.0,,工業區,丁種建築用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,9615,,0.0,0
新園鄉,房地(土地+建物),屏東縣新園鄉興安路156巷1~30號,77.17,,特定農業區,甲種建築用地,10304,土地2建物1車位0,全,004,透天厝,店舖、住宅,鋼筋混凝土造,0820225,197.89,3,3,3,有,無,2650000,13391,,0.0,0
崁頂鄉,土地,頂孝段301~330地號,2424.9,,一般農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,825,,0.0,0
內埔鄉,房地(土地+建物),屏東縣內埔鄉聯通街481~510號,88.25,,鄉村區,乙種建築用地,10304,土地2建物1車位0,全,003,透天厝,住商用,鋼筋混凝土造,0830324,150.79,4,2,3,有,無,1750000,11606,,0.0,0
潮州鎮,房地(土地+建物),屏東縣潮州鎮大同路211~240號,105.24,,一般農業區,甲種建築用地,10304,土地1建物1車位0,全,004,透天厝,住商用,鋼筋混凝土造,0800815,235.82,4,2,4,有,無,4800000,20355,,0.0,0
潮州鎮,房地(土地+建物),屏東縣潮州鎮堯舜街2巷61~90號,143.66,住,,,10304,土地2建物1車位0,全,003,透天厝,見其他登記事項,見其他登記事項,1030205,182.28,4,2,3,有,無,8000000,43889,,0.0,0
內埔鄉,房地(土地+建物),屏東縣內埔鄉內埔市場1~30號,29.39,其他,,,10302,土地1建物1車位0,全,003,透天厝,住商用,鋼筋混凝土造,0750502,96.0,0,0,0,無,無,1800000,18750,,0.0,0
fa72埔鄉,土地,彭新段841~870地號,655.35,,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,763,,0.0,0
萬丹鄉,土地,竹林段331~360地號,3394.77,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,2357,,0.0,0
fa72埔鄉,土地,彭南段31~60地號,108.73,,鄉村區,乙種建築用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,320000,2943,,0.0,0
麟洛鄉,房地(土地+建物),屏東縣麟洛鄉中山路361~390號,99.01,商,,,10304,土地1建物1車位0,全,003,透天厝,住商用,鋼筋混凝土造,0710226,199.92,0,0,3,無,無,8000000,40016,,0.0,0
屏東巿,房地(土地+建物),屏東縣屏東巿古松西巷4弄1~30號,86.0,住,,,10304,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0810224,168.92,4,2,3,有,無,5000000,29600,,0.0,0
屏東巿,房地(土地+建物),屏東縣屏東巿建興南路1~30號,14.22,住,,,10304,土地1建物1車位0,九層,016,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830701,127.24000000000001,3,2,2,有,有,2700000,21220,,0.0,0
萬丹鄉,土地,磚寮段1~30地號,2202.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9534000,4330,,0.0,0
屏東巿,房地(土地+建物),屏東縣屏東巿復興南路一段93巷64弄1~30號,60.0,住,,,10304,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0750712,87.0,4,2,3,有,無,4300000,49425,,0.0,0
麟洛鄉,土地,麟孝段181~210地號,99.17,,鄉村區,乙種建築用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,6050,,0.0,0
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉萬丹路二段420巷27弄1~30號,74.0,,鄉村區,乙種建築用地,10304,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0820818,148.36,6,2,4,有,無,2600000,17525,,0.0,0
萬丹鄉,土地,灣內段151~180地號,1822.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,878,,0.0,0
屏東巿,房地(土地+建物),屏東縣屏東巿機場北路260巷61~90號,79.8,住,,,10304,土地3建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0950314,158.36,4,2,3,有,無,4800000,30311,,0.0,0
長治鄉,房地(土地+建物),屏東縣長治鄉新民街110巷1~30號,116.71,住,,,10304,土地2建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,1020621,228.94,5,2,4,有,無,9150000,39967,,0.0,0
屏東巿,房地(土地+建物)+車位,屏東縣屏東巿大武路403巷1~30號,15.14,住,,,10304,土地1建物1車位1,四層,014,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0870825,156.39000000000001,4,2,2,有,有,3500000,22380,坡道機械,0.0,0
屏東巿,房地(土地+建物),屏東縣屏東巿公勇路61~90號,21.5,住,,,10304,土地2建物1車位0,十層,014,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830526,139.42000000000002,4,2,2,有,有,2800000,20083,,0.0,0
屏東巿,土地,萬年段811~840地號,1308.0,住,,,10301,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,42000000,32110,,0.0,0
屏東巿,土地,萬年段1231~1260地號,1259.0,住,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39988200,31762,,0.0,0
屏東巿,房地(土地+建物),屏東縣屏東巿公裕街211~240號,32.93,住,,,10303,土地2建物1車位0,一層，二層，三層,011,其他,見其他登記事項,鋼筋混凝土造,0830412,158.95999999999998,3,2,3,有,有,3380000,21263,,0.0,0
fa72埔鄉,房地(土地+建物),屏東縣鹽埔鄉鹽中村勝利路111巷1~30號,39.1,住,,,10304,土地1建物1車位0,六層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840515,145.49,3,2,2,有,無,550000,3780,,0.0,0
fa72埔鄉,土地,�r北段301~330地號,243.49,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,350000,1437,,0.0,0
屏東巿,土地,新街段一小段451~480地號,174.0,商,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,52318,301,,0.0,0
屏東巿,房地(土地+建物),屏東縣屏東巿安心四橫巷136弄1~30號,11.44,住,,,10304,土地1建物1車位0,二層,005,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960328,26.130000000000003,1,1,1,有,有,830000,31764,,0.0,0
九如鄉,房地(土地+建物),屏東縣九如鄉光復街167巷1~30號,199.57,住,,,10304,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,1020724,205.57,5,2,3,有,無,7500000,36484,,0.0,0
屏東巿,房地(土地+建物),屏東縣屏東巿歸仁路168巷1~30號,44.0,住,,,10304,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,,69.09,4,2,3,有,無,1600000,23158,,0.0,0
內埔鄉,土地,圳頭段391~420地號,1819.46,,一般農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,1649,,0.0,0
潮州鎮,房地(土地+建物),屏東縣潮州鎮興隆路63巷31~60號,166.78,住,,,10303,土地1建物1車位0,全,003,透天厝,見其他登記事項,見其他登記事項,1030129,200.41,4,2,3,有,無,8600000,42912,,0.0,0
林邊鄉,土地,復興段271~300地號,811.0,,一般農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1080000,1332,,0.0,0
新園鄉,土地,鹽龍段181~210地號,3747.78,農,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22447200,5989,,0.0,0
新園鄉,土地,五族段181~210地號,418.43,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4809800,11495,,0.0,0
東港鎮,房地(土地+建物),屏東縣東港鎮環美三街1~30號,225.4,,一般農業區,丁種建築用地,10303,土地1建物1車位0,一層，二層,002,其他,廠房,鋼筋混凝土構造,1020314,260.96,4,2,2,有,無,7460000,28587,,0.0,0
崁頂鄉,土地,頂孝段211~240地號,3904.69,,一般農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11270000,2886,,0.0,0
林邊鄉,土地,崎峰段1~30地號,4709.24,其他,,,10304,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14580000,3096,,0.0,0
恆春鎮,房地(土地+建物),屏東縣恆春鎮省北路40巷67弄1~30號,4.5,住,,,10304,土地1建物1車位0,五層,012,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840110,33.34,0,0,0,無,有,800000,23995,,0.0,0
